20190408_1501
Trial Settings	AS	CO	NP
Trial Number	1
Language of Task (English = 1, French = 2)	2	Target Set	1
Time Target is Shown	3	Median Time Between (with 1 Second Variation above and Below)	3

Frametime	Application Time (s)	Right Treadmill Speed (m/s)	Left Treadmill Speed (m/s)	Right Treadmill Distance (m)	Left Treadmill Distance (m)	Left Toe PosX	Left Toe PosY	Left Toe PosZ	Right Toe PosX	Right Toe PosY	Right Toe PosZ	Platform TransX	Platform TransY	Platform TransZ	Platform RotX	Platform RotY	Platform RotZ	Trip Timer	Slip Speed Setting	Trip Speed Setting	Left Trip Count	Right Trip Count	Left Slip Count	Right Slip Count	Start Trip Count	End Trip Count	Cognitive Task Active (1)	Target Count	Target Showing (1)	Target Number in Set	Target Angle	Target Word	TargText	Goal ON Time	On Timer	Goal Off Time	Off Timer	Target PosX	Target PosZ	Target RotY	
3351.7142916459	0.014194829535882	0	0	0	0	-0.14265087246895	0.054913975298405	0.041006531566381	0.2139328867197	0.2139328867197	0.057213947176933	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.7278308275	0.027734011143366	0	0	0	0	-0.1426802277565	0.0549221560359	0.040990430861712	0.21392111480236	0.21392111480236	0.057218246161938	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.740070646	0.039973829678729	0	0	0	0	-0.14260630309582	0.05489306896925	0.040996376425028	0.21395233273506	0.21395233273506	0.057241916656494	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.750070646	0.049973829679402	0	0	0	0	-0.14265458285809	0.054983090609312	0.040953036397696	0.21397039294243	0.21397039294243	0.05722127109766	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.7619196338	0.061822817511711	0	0	0	0	-0.14263634383678	0.05498456209898	0.040936652570963	0.21394871175289	0.21394871175289	0.05724785476923	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.7719196338	0.071822817512384	0	0	0	0	-0.1426354944706	0.054894804954529	0.040989026427269	0.21398793160915	0.21398793160915	0.057229518890381	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.7819196338	0.081822817513057	0	0	0	0	-0.14267583191395	0.054905515164137	0.040989987552166	0.21392844617367	0.21392844617367	0.057222224771976	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.7931871129	0.093090296607443	0	0	0	0	-0.14263999462128	0.055003199726343	0.040957361459732	0.21395419538021	0.21395419538021	0.057231299579144	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.803633275	0.10353645866053	0	0	0	0	-0.14269918203354	0.054925695061684	0.041007690131664	0.2139658331871	0.2139658331871	0.05722963809967	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.813633275	0.1135364586612	0	0	0	0	-0.14261990785599	0.054975274950266	0.040932089090347	0.21395324170589	0.21395324170589	0.057242397218943	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3351.8304155749	0.13031875852539	0	0	0	0	-0.1426255106926	0.054753862321377	0.041061867028475	0.21393352746964	0.21393352746964	0.057232555001974	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
