20190430_1045
Trial Settings	NA	BA	NP
Trial Number	1
Language of Task (English = 1, French = 2)	1	Target Set	0
Time Target is Shown	3	Median Time Between (with 1 Second Variation above and Below)	3

Frametime	Application Time (s)	Right Treadmill Speed (m/s)	Left Treadmill Speed (m/s)	Right Treadmill Distance (m)	Left Treadmill Distance (m)	Left Toe PosX	Left Toe PosY	Left Toe PosZ	Right Toe PosX	Right Toe PosY	Right Toe PosZ	Platform TransX	Platform TransY	Platform TransZ	Platform RotX	Platform RotY	Platform RotZ	Trip Timer	Slip Speed Setting	Trip Speed Setting	Left Trip Count	Right Trip Count	Left Slip Count	Right Slip Count	Start Trip Count	End Trip Count	Cognitive Task Active (1)	Target Count	Target Showing (1)	Target Number in Set	Target Angle	Target Word	TargText	Goal ON Time	On Timer	Goal Off Time	Off Timer	Target PosX	Target PosZ	Target RotY	
5540.9143425024	0.038968457802184	0	0	0	0	-0.16963635385036	0.046304490417242	-0.069678507745266	0.094167217612267	0.094167217612267	0.045091118663549	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5540.9271285148	0.051754470212472	0	0	0	0	-0.16952481865883	0.046300932765007	-0.069854497909546	0.094171650707722	0.094171650707722	0.045075193047523	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5540.9404618482	0.065087803544884	0	0	0	0	-0.16961351037025	0.046254951506853	-0.069769434630871	0.094178907573223	0.094178907573223	0.045067004859447	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5540.9517782875	0.07640424291094	0	0	0	0	-0.16948869824409	0.046275358647108	-0.069847419857979	0.094127215445042	0.094127215445042	0.045074105262756	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5540.9627130801	0.087339035530931	0	0	0	0	-0.16957497596741	0.046270646154881	-0.06974021345377	0.094110861420631	0.094110861420631	0.044946581125259	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5540.9737248287	0.098350784124705	0	0	0	0	-0.16949512064457	0.046290040016174	-0.069834187626839	0.094106756150723	0.094106756150723	0.045031931251287	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5540.985445304	0.11007125939523	0	0	0	0	-0.16950185596943	0.04630459100008	-0.069836974143982	0.094152487814426	0.094152487814426	0.045023642480373	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5540.9987786373	0.12340459272764	0	0	0	0	-0.16951270401478	0.046312157064676	-0.069866828620434	0.094145819544792	0.094145819544792	0.045013789087534	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.0102397016	0.13486565701078	0	0	0	0	-0.16959726810455	0.046293802559376	-0.069768384099007	0.094074584543705	0.094074584543705	0.044980511069298	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.023573035	0.14819899034319	0	0	0	0	-0.16961771249771	0.046256355941296	-0.069789662957191	0.094106711447239	0.094106711447239	0.045038841664791	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.0369063683	0.1615323236756	0	0	0	0	-0.16951543092728	0.046285394579172	-0.069868057966232	0.094125933945179	0.094125933945179	0.045046102255583	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.0486538662	0.17327982159441	0	0	0	0	-0.16948285698891	0.046273775398731	-0.069877661764622	0.094174578785896	0.094174578785896	0.04503171518445	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.0587642595	0.18339021488373	0	0	0	0	-0.16950118541718	0.046286974102259	-0.069866821169853	0.094120875000954	0.094120875000954	0.045030310750008	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.0735090407	0.19813499609518	0	0	0	0	-0.16961160302162	0.046290446072817	-0.069741696119308	0.094152450561523	0.094152450561523	0.045036904513836	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.086842374	0.21146832942759	0	0	0	0	-0.16954553127289	0.046273663640022	-0.069756112992764	0.094177551567554	0.094177551567554	0.045033913105726	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.1001757074	0.22480166276	0	0	0	0	-0.1694620102644	0.046277429908514	-0.069872736930847	0.094157971441746	0.094157971441746	0.045069169253111	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.1117805902	0.23640654561223	0	0	0	0	-0.16944551467896	0.046273402869701	-0.069822527468204	0.094222486019135	0.094222486019135	0.04504469782114	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.1251139236	0.24973987894464	0	0	0	0	-0.16943204402924	0.046292677521706	-0.069872200489044	0.094143055379391	0.094143055379391	0.045053269714117	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.1365181223	0.26114407772639	0	0	0	0	-0.16946913301945	0.046278517693281	-0.069863982498646	0.094158858060837	0.094158858060837	0.045050501823425	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.1498514557	0.2744774110588	0	0	0	0	-0.16943721473217	0.04633754119277	-0.069876082241535	0.094141326844692	0.094141326844692	0.045082554221153	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5541.163184789	0.28781074439121	0	0	0	0	-0.16954593360424	0.046335887163877	-0.069726690649986	0.094135209918022	0.094135209918022	0.045042403042316	0	4.6253205709945e-009	-0	0	-0	-0	0.75	1.7	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
